Oil_store,주소,가격,셀프,상표
축동주유소,경남 사천시 축동면 서삼로 1242,1630,N,SK에너지
남문주유소(현대),경남 사천시 곤양면 곤양로 67,1630,Y,현대오일뱅크
푸른주유소,경남 사천시 사남면 진삼로 1188,1630,N,GS칼텍스
지에스칼텍스(주)사천중앙주유소,경남 사천시 사천읍 사천대로 1826,1632,N,GS칼텍스
남일주유소,경남 사천시 남일로 214(향촌동),1637,N,SK에너지
동백제3주유소,경남 사천시 각산로 114 (대방동),1639,N,GS칼텍스
삼일주유소,경남 사천시 삼천포대교로 588 (좌룡동),1645,N,GS칼텍스
향촌주유소,경남 사천시 남일로 161 (향촌동),1645,N,알뜰주유소
SK에너지(주) 사천역사주유소,경남 사천시 사천읍 사천대로 1846,1649,Y,SK에너지
경서대로주유소,경남 사천시 곤명면 경서대로 3643,1650,Y,SK에너지
삼광주유소,경남 사천시 서포면 서포로 214,1650,N,SK에너지
곤양주유소(현대),경남 사천시 곤양면 곤양로 94,1650,N,현대오일뱅크
아주주유소,경남 사천시 진삼로 95 (송포동),1669,N,S-OIL
바보주유소,경남 사천시 삼천포대교로 485 (동림동),1679,N,S-OIL
포유주유소,경남 사천시 삼천포대교로 401 (선구동),1689,N,SK에너지
합동주유소,경남 사천시 삼상로 8,1699,N,SK에너지
청양주유소,경남 사천시 남일로 128 (향촌동),1699,N,SK에너지
곤명주유소,경남 사천시 곤명면 경서대로 3630,-,N,S-OIL
남포주유소,경남 사천시 삼상로 415 (이금동),-,N,현대오일뱅크
노랑주유소,경남 사천시 서포면 서포로 438,-,N,S-OIL
경호주유소,경남 산청군 산청읍 자신길 12,1591,N,자가상표
관동주유소,경남 산청군 생초면 산청대로 2675,1595,Y,GS칼텍스
한결(산청),경남 산청군 산청읍 친환경로2665번길 19-14,1595,Y,S-OIL
석풍주유소,경남 산청군 신안면 산청대로 1169,1595,N,알뜰주유소
만남주유소,경남 산청군 산청읍 산청대로 2142,1595,Y,현대오일뱅크
㈜대교 산청(통영방향)주유소/충전소,경남 산청군 단성면 통영대전고속도로 77,1599,Y,알뜰(ex)
생초IC주유소,경남 산청군 생초면 경호로 553-3,1599,Y,알뜰주유소
㈜대교 산청(대전방향)주유소/충전소,경남 산청군 단성면 통영대전고속도로 76,1599,Y,알뜰(ex)
(주)은장 양촌주유소/충전소,경남 산청군 오부면 산청대로 2293,1605,Y,S-OIL
진달래주유소,경남 산청군 신안면 산청대로 839,1618,N,현대오일뱅크
금호주유소(산청),경남 산청군 산청읍 산수로 422,1620,N,GS칼텍스
차탄주유소,경남 산청군 산청읍 산청대로 2083,1620,N,GS칼텍스
산청군농협금서주유소,경남 산청군 금서면 친환경로 2540,1630,N,NH-OIL
남북주유소,경남 산청군 시천면 지리산대로 3825,1630,N,S-OIL
